speaker	conversation	total	english	spanish	um	uh	em	eh	am	ah
CHL	herring1.cha	2472	0	0	17	4	0	0	0	3
LAU	herring1.cha	3787	0	0	11	2	0	0	0	3
OSE	herring1.cha	3	0	0	0	0	0	0	0	0
MIG	herring2.cha	3642	0	0	1	0	0	0	0	11
TOM	herring2.cha	1754	0	0	0	0	0	0	0	5
ASH	herring3.cha	3298	0	0	9	3	0	0	0	8
JAC	herring3.cha	1517	0	0	1	2	0	0	0	12
OSE	herring3.cha	1	0	0	0	0	0	0	0	0
NOA	herring5.cha	2596	0	0	0	0	0	0	0	13
MEG	herring5.cha	1952	0	0	0	0	0	0	0	5
NIC	herring6.cha	1885	0	0	6	0	0	0	0	6
JES	herring6.cha	2575	0	0	18	3	0	0	0	1
SEB	herring7.cha	2561	0	0	4	8	0	0	0	6
RIC	herring7.cha	1773	0	0	6	4	0	0	0	2
ROB	herring8.cha	1644	0	0	5	12	0	0	0	2
MEL	herring8.cha	1935	0	0	1	5	0	0	0	2
OSE	herring8.cha	280	0	0	0	0	0	0	0	2
OSA	herring8.cha	17	0	0	0	0	0	0	0	0
OSB	herring8.cha	2	0	0	0	0	0	0	0	0
CLA	herring9.cha	2762	0	0	6	12	0	0	0	1
LUK	herring9.cha	3679	0	0	4	3	0	0	0	5
PAI	herring10.cha	1313	0	0	0	0	0	0	0	6
SAR	herring10.cha	2313	0	0	2	0	0	0	0	3
OSE	herring10.cha	34	0	0	0	0	0	0	0	0
GRA	herring11.cha	2379	0	0	0	0	0	0	0	9
CAL	herring11.cha	1840	0	0	0	0	0	0	0	4
MIG	herring12.cha	4800	0	0	0	0	0	0	0	21
TIM	herring12.cha	1344	0	0	1	1	0	0	0	7
VAN	herring13.cha	2319	0	0	4	0	0	0	0	11
LEA	herring13.cha	1355	0	0	2	0	0	0	0	2
OSE	herring13.cha	167	0	0	0	0	0	0	0	0
CON	herring14.cha	2088	0	0	1	1	0	0	0	13
GAB	herring14.cha	2885	0	0	3	1	0	0	0	17
BRA	herring15.cha	4133	0	0	30	8	0	0	0	1
EVN	herring15.cha	1606	0	0	7	4	0	0	0	1
ABE	herring16.cha	1461	0	0	2	0	0	0	0	7
IAN	herring16.cha	1084	0	0	7	0	0	0	0	2
JAM	herring17.cha	3573	0	0	18	0	0	0	0	36
IRI	herring17.cha	2213	0	0	2	0	0	0	0	8
MAR	maria1.cha	1509	0	0	1	0	0	0	0	3
OSE	maria1.cha	130	0	0	0	0	0	0	0	0
MAR	maria2.cha	144	0	0	0	0	0	0	0	0
OSE	maria2.cha	28	0	0	0	0	0	0	0	0
OSE	maria4.cha	153	0	0	0	0	0	0	0	0
MAR	maria4.cha	1586	0	0	2	5	0	0	0	0
MAR	maria7.cha	634	0	0	3	0	0	0	0	2
OSE	maria7.cha	6	0	0	0	0	0	0	0	0
MAR	maria40.cha	6370	0	0	0	2	0	0	0	31
OSE	maria40.cha	1016	0	0	0	0	0	0	0	0
MAR	maria10.cha	1865	0	0	2	2	0	0	0	2
OSE	maria10.cha	78	0	0	0	0	0	0	0	0
OSE	maria16.cha	360	0	0	0	0	0	0	0	0
MAR	maria16.cha	2680	0	0	2	7	0	0	0	20
OSE	maria18.cha	434	0	0	0	0	0	0	0	0
MAR	maria18.cha	3630	0	0	4	11	0	0	0	5
MAR	maria19.cha	2366	0	0	0	2	0	0	1	6
OSE	maria19.cha	305	0	0	0	0	0	0	0	0
MAR	maria20.cha	1408	0	0	3	0	0	0	0	0
OSE	maria20.cha	125	0	0	0	0	0	0	0	0
MAR	maria21.cha	738	0	0	0	0	0	0	0	0
OSE	maria21.cha	1	0	0	0	0	0	0	0	0
MAR	maria24.cha	3074	0	0	0	7	0	0	0	6
OSE	maria24.cha	258	0	0	0	0	0	0	0	0
MAR	maria27.cha	3930	0	0	4	2	0	0	0	18
OSE	maria27.cha	358	0	0	0	0	0	0	0	0
