speaker	conversation	total	english	spanish	um	yeah	like	pues	eso
CHL	herring1.cha	2472	0	0	22	49	75	0	1
LAU	herring1.cha	3787	0	0	15	32	105	0	3
OSE	herring1.cha	3	0	0	0	0	0	0	0
MIG	herring2.cha	3642	0	0	1	1	11	99	18
TOM	herring2.cha	1754	0	0	0	1	0	20	5
ASH	herring3.cha	3298	0	0	12	11	22	3	8
JAC	herring3.cha	1517	0	0	3	8	5	3	9
OSE	herring3.cha	1	0	0	0	0	0	0	0
NOA	herring5.cha	2596	0	0	0	5	1	2	31
MEG	herring5.cha	1952	0	0	0	1	0	0	14
NIC	herring6.cha	1885	0	0	7	10	3	0	0
JES	herring6.cha	2575	0	0	32	12	5	0	11
SEB	herring7.cha	2561	0	0	15	72	61	0	2
RIC	herring7.cha	1773	0	0	11	88	60	0	0
ROB	herring8.cha	1644	0	0	17	14	11	0	0
MEL	herring8.cha	1935	0	0	7	12	6	0	2
OSE	herring8.cha	280	0	0	0	3	0	0	0
OSA	herring8.cha	17	0	0	0	1	0	0	0
OSB	herring8.cha	2	0	0	0	0	0	0	0
CLA	herring9.cha	2762	0	0	18	26	32	0	0
LUK	herring9.cha	3679	0	0	8	25	25	0	0
PAI	herring10.cha	1313	0	0	0	11	8	1	6
SAR	herring10.cha	2313	0	0	2	18	19	0	3
OSE	herring10.cha	34	0	0	0	0	0	0	0
GRA	herring11.cha	2379	0	0	0	2	0	0	18
CAL	herring11.cha	1840	0	0	0	1	0	3	20
MIG	herring12.cha	4800	0	0	1	2	40	63	23
TIM	herring12.cha	1344	0	0	2	6	0	10	8
VAN	herring13.cha	2319	0	0	4	31	18	0	9
LEA	herring13.cha	1355	0	0	2	34	9	0	3
OSE	herring13.cha	167	0	0	0	0	0	0	0
CON	herring14.cha	2088	0	0	2	9	24	4	15
GAB	herring14.cha	2885	0	0	4	31	57	8	17
BRA	herring15.cha	4133	0	0	39	71	250	0	0
EVN	herring15.cha	1606	0	0	12	54	65	0	0
ABE	herring16.cha	1461	0	0	3	3	2	2	4
IAN	herring16.cha	1084	0	0	10	1	1	2	2
